Year,State,Income Level,Percent of Total,Number of Households
2009,Arkansas,"Less than $10,000",10.40%,"115,369"
2009,California,"$10,000 to $14,999",5.16%,"628,340"
2009,California,"$15,000 to $19,999",4.66%,"567,704"
2009,California,"$20,000 to $24,999",4.81%,"586,414"
2009,California,"$25,000 to $29,999",4.65%,"566,709"
2009,California,"$30,000 to $34,999",4.56%,"556,073"
2009,California,"$35,000 to $39,999",4.41%,"538,037"
2009,California,"$40,000 to $44,999",4.38%,"533,922"
2009,California,"$45,000 to $49,999",4.01%,"488,245"
2009,California,"$50,000 to $59,999",7.76%,"945,136"
2009,California,"$60,000 to $74,999",10.04%,"1,223,969"
2009,California,"$75,000 to $99,999",12.84%,"1,564,337"
2009,California,"$100,000 to $124,999",9.08%,"1,106,644"
2009,California,"$125,000 to $149,999",5.83%,"710,490"
2009,California,"$150,000 to $199,999",6.19%,"754,969"
2009,California,"$200,000 or more",6.30%,"767,989"
2009,California,"Less than $10,000",5.32%,"648,213"
2009,Colorado,"$10,000 to $14,999",4.67%,"87,257"
2009,Colorado,"$15,000 to $19,999",4.58%,"85,585"
2009,Colorado,"$20,000 to $24,999",4.95%,"92,493"
2009,Colorado,"$25,000 to $29,999",4.95%,"92,568"
2009,Colorado,"$30,000 to $34,999",4.89%,"91,439"
2009,Colorado,"$35,000 to $39,999",4.73%,"88,459"
2009,Colorado,"$40,000 to $44,999",4.96%,"92,789"
2009,Colorado,"$45,000 to $49,999",4.43%,"82,777"
2009,Colorado,"$50,000 to $59,999",8.32%,"155,616"
2009,Colorado,"$60,000 to $74,999",10.87%,"203,109"
2009,Colorado,"$75,000 to $99,999",13.09%,"244,601"
2009,Colorado,"$100,000 to $124,999",8.73%,"163,201"
2009,Colorado,"$125,000 to $149,999",5.13%,"95,908"
2009,Colorado,"$150,000 to $199,999",4.90%,"91,592"
2009,Colorado,"$200,000 or more",4.34%,"81,105"
2009,Colorado,"Less than $10,000",6.46%,"120,777"
2009,Connecticut,"$10,000 to $14,999",4.14%,"54,931"
2009,Connecticut,"$15,000 to $19,999",4.02%,"53,304"
2009,Connecticut,"$20,000 to $24,999",3.97%,"52,666"
2009,Connecticut,"$25,000 to $29,999",3.98%,"52,832"
2009,Connecticut,"$30,000 to $34,999",4.00%,"53,092"
2009,Connecticut,"$35,000 to $39,999",3.83%,"50,834"
2009,Connecticut,"$40,000 to $44,999",4.01%,"53,267"
2009,Connecticut,"$45,000 to $49,999",3.71%,"49,307"
2009,Connecticut,"$50,000 to $59,999",7.41%,"98,349"
2009,Connecticut,"$60,000 to $74,999",10.15%,"134,778"
2009,Connecticut,"$75,000 to $99,999",14.00%,"185,880"
2009,Connecticut,"$100,000 to $124,999",10.26%,"136,220"
2009,Connecticut,"$125,000 to $149,999",6.37%,"84,582"
2009,Connecticut,"$150,000 to $199,999",6.80%,"90,279"
2009,Connecticut,"$200,000 or more",7.84%,"104,010"
2009,Connecticut,"Less than $10,000",5.51%,"73,151"
2009,Delaware,"$10,000 to $14,999",4.07%,"13,244"
2009,Delaware,"$15,000 to $19,999",4.54%,"14,768"
2009,Delaware,"$20,000 to $24,999",5.07%,"16,476"
2009,Delaware,"$25,000 to $29,999",4.86%,"15,795"
2009,Delaware,"$30,000 to $34,999",4.99%,"16,221"
2009,Delaware,"$35,000 to $39,999",4.56%,"14,816"
2009,Delaware,"$40,000 to $44,999",4.95%,"16,107"
2009,Delaware,"$45,000 to $49,999",4.37%,"14,194"
2009,Delaware,"$50,000 to $59,999",8.96%,"29,139"
2009,Delaware,"$60,000 to $74,999",11.00%,"35,756"
2009,Delaware,"$75,000 to $99,999",14.01%,"45,565"
2009,Delaware,"$100,000 to $124,999",9.00%,"29,266"
2009,Delaware,"$125,000 to $149,999",5.25%,"17,080"
2009,Delaware,"$150,000 to $199,999",4.95%,"16,081"
2009,Delaware,"$200,000 or more",3.84%,"12,494"
2009,Delaware,"Less than $10,000",5.58%,"18,158"
2009,District of Columbia,"$10,000 to $14,999",4.86%,"12,177"
2009,District of Columbia,"$15,000 to $19,999",4.41%,"11,060"
2009,District of Columbia,"$20,000 to $24,999",4.07%,"10,214"
2009,District of Columbia,"$25,000 to $29,999",4.14%,"10,382"
2009,District of Columbia,"$30,000 to $34,999",4.53%,"11,370"
2009,District of Columbia,"$35,000 to $39,999",3.92%,"9,840"
2009,District of Columbia,"$40,000 to $44,999",4.57%,"11,457"
2009,District of Columbia,"$45,000 to $49,999",3.49%,"8,750"
2009,District of Columbia,"$50,000 to $59,999",7.07%,"17,726"
2009,District of Columbia,"$60,000 to $74,999",8.56%,"21,462"
2009,District of Columbia,"$75,000 to $99,999",10.61%,"26,606"
2009,District of Columbia,"$100,000 to $124,999",7.15%,"17,917"
2009,District of Columbia,"$125,000 to $149,999",5.50%,"13,789"
2009,District of Columbia,"$150,000 to $199,999",6.67%,"16,712"
2009,District of Columbia,"$200,000 or more",9.40%,"23,557"
2009,District of Columbia,"Less than $10,000",11.05%,"27,704"
2009,Florida,"$10,000 to $14,999",5.69%,"402,848"
2009,Florida,"$15,000 to $19,999",5.75%,"406,638"
2009,Florida,"$20,000 to $24,999",6.08%,"430,392"
2009,Florida,"$25,000 to $29,999",6.06%,"428,814"
2009,Florida,"$30,000 to $34,999",5.87%,"415,526"
2009,Florida,"$35,000 to $39,999",5.62%,"397,946"
2009,Florida,"$40,000 to $44,999",5.38%,"381,065"
2009,Florida,"$45,000 to $49,999",4.72%,"333,971"
2009,Florida,"$50,000 to $59,999",8.66%,"613,049"
2009,Florida,"$60,000 to $74,999",10.35%,"732,208"
2009,Florida,"$75,000 to $99,999",11.39%,"806,311"
2009,Florida,"$100,000 to $124,999",6.72%,"475,532"
2009,Florida,"$125,000 to $149,999",3.62%,"255,994"
2009,Florida,"$150,000 to $199,999",3.34%,"236,106"
2009,Florida,"$200,000 or more",3.51%,"248,229"
2009,Florida,"Less than $10,000",7.23%,"511,910"
2009,Georgia,"$10,000 to $14,999",5.75%,"196,371"
2009,Georgia,"$15,000 to $19,999",5.36%,"183,192"
2009,Georgia,"$20,000 to $24,999",5.48%,"187,193"
2009,Georgia,"$25,000 to $29,999",5.42%,"185,051"
2009,Georgia,"$30,000 to $34,999",5.47%,"187,002"
2009,Georgia,"$35,000 to $39,999",5.18%,"176,871"
2009,Georgia,"$40,000 to $44,999",5.08%,"173,460"
2009,Georgia,"$45,000 to $49,999",4.44%,"151,666"
2009,Georgia,"$50,000 to $59,999",8.40%,"287,047"
2009,Georgia,"$60,000 to $74,999",10.37%,"354,538"
2009,Georgia,"$75,000 to $99,999",12.03%,"411,020"
2009,Georgia,"$100,000 to $124,999",7.20%,"245,969"
2009,Georgia,"$125,000 to $149,999",4.06%,"138,583"
2009,Georgia,"$150,000 to $199,999",3.81%,"130,193"
2009,Georgia,"$200,000 or more",3.65%,"124,898"
2009,Georgia,"Less than $10,000",8.32%,"284,244"
2009,Hawaii,"$10,000 to $14,999",3.70%,"16,218"
2009,Hawaii,"$15,000 to $19,999",3.52%,"15,426"
2009,Hawaii,"$20,000 to $24,999",3.89%,"17,035"
2009,Hawaii,"$25,000 to $29,999",4.08%,"17,853"
2009,Hawaii,"$30,000 to $34,999",4.32%,"18,915"
2009,Hawaii,"$35,000 to $39,999",4.14%,"18,114"
2009,Hawaii,"$40,000 to $44,999",4.39%,"19,235"
2009,Hawaii,"$45,000 to $49,999",4.05%,"17,738"
2009,Hawaii,"$50,000 to $59,999",8.25%,"36,134"
2009,Hawaii,"$60,000 to $74,999",11.42%,"50,026"
2009,Hawaii,"$75,000 to $99,999",14.95%,"65,458"
2009,Hawaii,"$100,000 to $124,999",10.37%,"45,403"
2009,Hawaii,"$125,000 to $149,999",6.11%,"26,764"
2009,Hawaii,"$150,000 to $199,999",6.12%,"26,807"
2009,Hawaii,"$200,000 or more",4.85%,"21,234"
2009,Hawaii,"Less than $10,000",5.85%,"25,616"
2009,Idaho,"$10,000 to $14,999",5.94%,"32,857"
2009,Idaho,"$15,000 to $19,999",5.79%,"31,977"
2009,Idaho,"$20,000 to $24,999",6.40%,"35,363"
2009,Idaho,"$25,000 to $29,999",6.59%,"36,401"
2009,Idaho,"$30,000 to $34,999",6.28%,"34,693"
2009,Idaho,"$35,000 to $39,999",5.68%,"31,408"
2009,Idaho,"$40,000 to $44,999",5.71%,"31,555"
2009,Idaho,"$45,000 to $49,999",5.06%,"27,973"
2009,Idaho,"$50,000 to $59,999",9.83%,"54,341"
2009,Idaho,"$60,000 to $74,999",11.30%,"62,445"
2009,Idaho,"$75,000 to $99,999",11.75%,"64,965"
2009,Idaho,"$100,000 to $124,999",5.97%,"32,998"
2009,Idaho,"$125,000 to $149,999",2.86%,"15,795"
2009,Idaho,"$150,000 to $199,999",2.37%,"13,093"
2009,Idaho,"$200,000 or more",2.02%,"11,183"
2009,Idaho,"Less than $10,000",6.46%,"35,679"
2009,Illinois,"$10,000 to $14,999",4.99%,"236,950"
2009,Illinois,"$15,000 to $19,999",5.05%,"239,636"
2009,Illinois,"$20,000 to $24,999",5.01%,"237,775"
2009,Illinois,"$25,000 to $29,999",4.91%,"233,321"
2009,Illinois,"$30,000 to $34,999",4.90%,"232,878"
2009,Illinois,"$35,000 to $39,999",4.68%,"222,299"
2009,Illinois,"$40,000 to $44,999",4.63%,"219,725"
2009,Illinois,"$45,000 to $49,999",4.24%,"201,517"
2009,Illinois,"$50,000 to $59,999",8.36%,"397,199"
2009,Illinois,"$60,000 to $74,999",10.70%,"508,408"
2009,Illinois,"$75,000 to $99,999",13.14%,"624,148"
2009,Illinois,"$100,000 to $124,999",8.34%,"396,324"
2009,Illinois,"$125,000 to $149,999",4.85%,"230,309"
2009,Illinois,"$150,000 to $199,999",4.63%,"219,763"
2009,Illinois,"$200,000 or more",4.52%,"214,721"
2009,Illinois,"Less than $10,000",7.04%,"334,415"
2009,Indiana,"$10,000 to $14,999",5.70%,"140,573"
2009,Indiana,"$15,000 to $19,999",5.67%,"140,059"
2009,Indiana,"$20,000 to $24,999",5.96%,"147,019"
2009,Indiana,"$25,000 to $29,999",5.90%,"145,626"
2009,Indiana,"$30,000 to $34,999",6.01%,"148,267"
2009,Indiana,"$35,000 to $39,999",5.53%,"136,425"
2009,Indiana,"$40,000 to $44,999",5.45%,"134,550"
2009,Indiana,"$45,000 to $49,999",4.76%,"117,489"
2009,Indiana,"$50,000 to $59,999",9.11%,"224,821"
2009,Indiana,"$60,000 to $74,999",11.26%,"277,906"
2009,Indiana,"$75,000 to $99,999",12.41%,"306,247"
2009,Indiana,"$100,000 to $124,999",6.74%,"166,226"
2009,Indiana,"$125,000 to $149,999",3.29%,"81,103"
2009,Indiana,"$150,000 to $199,999",2.67%,"65,931"
2009,Indiana,"$200,000 or more",2.13%,"52,654"
2009,Indiana,"Less than $10,000",7.42%,"183,110"
2009,Iowa,"$10,000 to $14,999",6.01%,"73,103"
2009,Iowa,"$15,000 to $19,999",5.74%,"69,744"
2009,Iowa,"$20,000 to $24,999",5.99%,"72,809"
2009,Iowa,"$25,000 to $29,999",5.85%,"71,117"
2009,Iowa,"$30,000 to $34,999",5.71%,"69,469"
2009,Iowa,"$35,000 to $39,999",5.61%,"68,173"
2009,Iowa,"$40,000 to $44,999",5.54%,"67,341"
2009,Iowa,"$45,000 to $49,999",4.98%,"60,549"
2009,Iowa,"$50,000 to $59,999",9.28%,"112,802"
2009,Iowa,"$60,000 to $74,999",11.59%,"140,982"
2009,Iowa,"$75,000 to $99,999",12.72%,"154,623"
2009,Iowa,"$100,000 to $124,999",6.68%,"81,227"
2009,Iowa,"$125,000 to $149,999",3.12%,"37,978"
2009,Iowa,"$150,000 to $199,999",2.49%,"30,281"
2009,Iowa,"$200,000 or more",2.21%,"26,851"
2009,Iowa,"Less than $10,000",6.49%,"78,921"
2009,Kansas,"$10,000 to $14,999",5.50%,"60,113"
2009,Kansas,"$15,000 to $19,999",5.60%,"61,297"
2009,Kansas,"$20,000 to $24,999",5.98%,"65,429"
2009,Kansas,"$25,000 to $29,999",6.00%,"65,597"
2009,Kansas,"$30,000 to $34,999",5.77%,"63,144"
2009,Kansas,"$35,000 to $39,999",5.59%,"61,102"
2009,Kansas,"$40,000 to $44,999",5.32%,"58,224"
2009,Kansas,"$45,000 to $49,999",4.79%,"52,351"
2009,Kansas,"$50,000 to $59,999",8.73%,"95,460"
2009,Kansas,"$60,000 to $74,999",10.85%,"118,692"
2009,Kansas,"$75,000 to $99,999",12.37%,"135,276"
2009,Kansas,"$100,000 to $124,999",7.05%,"77,085"
2009,Kansas,"$125,000 to $149,999",3.51%,"38,376"
2009,Kansas,"$150,000 to $199,999",3.23%,"35,306"
2009,Kansas,"$200,000 or more",2.75%,"30,092"
2009,Kansas,"Less than $10,000",6.96%,"76,150"
2009,Kentucky,"$10,000 to $14,999",7.54%,"126,327"
2009,Kentucky,"$15,000 to $19,999",6.59%,"110,364"
2009,Kentucky,"$20,000 to $24,999",6.53%,"109,339"
2009,Kentucky,"$25,000 to $29,999",6.13%,"102,718"
2009,Kentucky,"$30,000 to $34,999",5.81%,"97,324"
2009,Kentucky,"$35,000 to $39,999",5.29%,"88,652"
2009,Kentucky,"$40,000 to $44,999",5.23%,"87,600"
2009,Kentucky,"$45,000 to $49,999",4.60%,"77,113"
2009,Kentucky,"$50,000 to $59,999",8.26%,"138,295"
2009,Kentucky,"$60,000 to $74,999",9.65%,"161,690"
2009,Kentucky,"$75,000 to $99,999",10.69%,"179,072"
2009,Kentucky,"$100,000 to $124,999",5.80%,"97,206"
2009,Kentucky,"$125,000 to $149,999",2.88%,"48,171"
2009,Kentucky,"$150,000 to $199,999",2.26%,"37,786"
2009,Kentucky,"$200,000 or more",1.92%,"32,138"
2009,Kentucky,"Less than $10,000",10.80%,"180,943"
2009,Louisiana,"$10,000 to $14,999",7.55%,"124,048"
2009,Louisiana,"$15,000 to $19,999",6.72%,"110,523"
2009,Louisiana,"$20,000 to $24,999",6.24%,"102,543"
2009,Louisiana,"$25,000 to $29,999",5.87%,"96,469"
2009,Louisiana,"$30,000 to $34,999",5.62%,"92,349"
2009,Louisiana,"$35,000 to $39,999",5.06%,"83,271"
2009,Louisiana,"$40,000 to $44,999",4.84%,"79,582"
2009,Louisiana,"$45,000 to $49,999",4.37%,"71,863"
2009,Louisiana,"$50,000 to $59,999",7.77%,"127,783"
2009,Louisiana,"$60,000 to $74,999",9.33%,"153,376"
2009,Louisiana,"$75,000 to $99,999",10.81%,"177,680"
2009,Louisiana,"$100,000 to $124,999",6.37%,"104,682"
2009,Louisiana,"$125,000 to $149,999",3.38%,"55,569"
2009,Louisiana,"$150,000 to $199,999",2.80%,"46,087"
2009,Louisiana,"$200,000 or more",2.51%,"41,198"
2009,Louisiana,"Less than $10,000",10.77%,"177,071"
2009,Maine,"$10,000 to $14,999",6.51%,"35,342"
2009,Maine,"$15,000 to $19,999",6.14%,"33,333"
2009,Maine,"$20,000 to $24,999",6.15%,"33,344"
2009,Maine,"$25,000 to $29,999",5.71%,"30,966"
2009,Maine,"$30,000 to $34,999",5.92%,"32,130"
2009,Maine,"$35,000 to $39,999",5.39%,"29,270"
2009,Maine,"$40,000 to $44,999",5.13%,"27,812"
2009,Maine,"$45,000 to $49,999",5.04%,"27,354"
2009,Maine,"$50,000 to $59,999",9.10%,"49,371"
2009,Maine,"$60,000 to $74,999",11.44%,"62,072"
2009,Maine,"$75,000 to $99,999",12.05%,"65,405"
2009,Maine,"$100,000 to $124,999",6.22%,"33,736"
2009,Maine,"$125,000 to $149,999",2.99%,"16,237"
2009,Maine,"$150,000 to $199,999",2.59%,"14,045"
2009,Maine,"$200,000 or more",2.14%,"11,599"
2009,Maine,"Less than $10,000",7.48%,"40,601"
2009,Maryland,"$10,000 to $14,999",3.45%,"72,289"
2009,Maryland,"$15,000 to $19,999",3.38%,"70,685"
2009,Maryland,"$20,000 to $24,999",3.56%,"74,470"
2009,Maryland,"$25,000 to $29,999",3.97%,"83,017"
2009,Maryland,"$30,000 to $34,999",3.98%,"83,266"
2009,Maryland,"$35,000 to $39,999",4.00%,"83,607"
2009,Maryland,"$40,000 to $44,999",4.19%,"87,768"
2009,Maryland,"$45,000 to $49,999",3.92%,"82,082"
2009,Maryland,"$50,000 to $59,999",7.94%,"166,148"
2009,Maryland,"$60,000 to $74,999",10.45%,"218,638"
2009,Maryland,"$75,000 to $99,999",14.33%,"299,807"
2009,Maryland,"$100,000 to $124,999",10.66%,"223,145"
2009,Maryland,"$125,000 to $149,999",6.87%,"143,687"
2009,Maryland,"$150,000 to $199,999",7.57%,"158,480"
2009,Maryland,"$200,000 or more",6.79%,"142,037"
2009,Maryland,"Less than $10,000",4.94%,"103,412"
2009,Massachusetts,"$10,000 to $14,999",5.03%,"124,064"
2009,Massachusetts,"$15,000 to $19,999",4.22%,"104,034"
2009,Massachusetts,"$20,000 to $24,999",4.09%,"100,922"
2009,Massachusetts,"$25,000 to $29,999",3.90%,"96,079"
2009,Massachusetts,"$30,000 to $34,999",4.05%,"99,951"
2009,Massachusetts,"$35,000 to $39,999",3.78%,"93,208"
2009,Massachusetts,"$40,000 to $44,999",4.04%,"99,610"
2009,Massachusetts,"$45,000 to $49,999",3.57%,"88,089"
2009,Massachusetts,"$50,000 to $59,999",7.32%,"180,564"
2009,Massachusetts,"$60,000 to $74,999",10.00%,"246,501"
2009,Massachusetts,"$75,000 to $99,999",13.72%,"338,280"
2009,Massachusetts,"$100,000 to $124,999",9.98%,"246,170"
2009,Massachusetts,"$125,000 to $149,999",6.42%,"158,330"
2009,Massachusetts,"$150,000 to $199,999",6.65%,"164,083"
2009,Massachusetts,"$200,000 or more",6.41%,"158,107"
2009,Massachusetts,"Less than $10,000",6.80%,"167,662"
2009,Michigan,"$10,000 to $14,999",5.71%,"220,515"
2009,Michigan,"$15,000 to $19,999",5.53%,"213,274"
2009,Michigan,"$20,000 to $24,999",5.73%,"221,320"
2009,Michigan,"$25,000 to $29,999",5.65%,"217,934"
2009,Michigan,"$30,000 to $34,999",5.61%,"216,368"
2009,Michigan,"$35,000 to $39,999",5.29%,"204,151"
2009,Michigan,"$40,000 to $44,999",5.09%,"196,524"
2009,Michigan,"$45,000 to $49,999",4.56%,"176,202"
2009,Michigan,"$50,000 to $59,999",8.53%,"329,460"
2009,Michigan,"$60,000 to $74,999",10.52%,"406,082"
2009,Michigan,"$75,000 to $99,999",12.30%,"474,955"
2009,Michigan,"$100,000 to $124,999",7.31%,"282,094"
2009,Michigan,"$125,000 to $149,999",4.03%,"155,614"
2009,Michigan,"$150,000 to $199,999",3.42%,"131,864"
2009,Michigan,"$200,000 or more",2.72%,"105,109"
2009,Michigan,"Less than $10,000",8.00%,"308,694"
2009,Minnesota,"$10,000 to $14,999",4.72%,"97,326"
2009,Minnesota,"$15,000 to $19,999",4.55%,"93,829"
2009,Minnesota,"$20,000 to $24,999",4.71%,"97,026"
2009,Minnesota,"$25,000 to $29,999",4.76%,"98,054"
2009,Minnesota,"$30,000 to $34,999",4.92%,"101,547"
2009,Minnesota,"$35,000 to $39,999",4.81%,"99,122"
2009,Minnesota,"$40,000 to $44,999",4.98%,"102,626"
2009,Minnesota,"$45,000 to $49,999",4.48%,"92,280"
2009,Minnesota,"$50,000 to $59,999",8.78%,"180,983"
2009,Minnesota,"$60,000 to $74,999",11.64%,"239,908"
2009,Minnesota,"$75,000 to $99,999",14.28%,"294,413"
2009,Minnesota,"$100,000 to $124,999",8.75%,"180,400"
2009,Minnesota,"$125,000 to $149,999",4.72%,"97,393"
2009,Minnesota,"$150,000 to $199,999",4.32%,"89,054"
2009,Minnesota,"$200,000 or more",3.83%,"79,045"
2009,Minnesota,"Less than $10,000",5.77%,"118,876"
2009,Mississippi,"$10,000 to $14,999",8.53%,"92,649"
2009,Mississippi,"$15,000 to $19,999",7.70%,"83,568"
2009,Mississippi,"$20,000 to $24,999",6.81%,"73,993"
2009,Mississippi,"$25,000 to $29,999",6.41%,"69,616"
2009,Mississippi,"$30,000 to $34,999",6.06%,"65,845"
2009,Mississippi,"$35,000 to $39,999",5.39%,"58,482"
2009,Mississippi,"$40,000 to $44,999",4.81%,"52,190"
2009,Mississippi,"$45,000 to $49,999",4.49%,"48,700"
2009,Mississippi,"$50,000 to $59,999",7.84%,"85,139"
2009,Mississippi,"$60,000 to $74,999",8.91%,"96,779"
2009,Mississippi,"$75,000 to $99,999",9.30%,"100,983"
2009,Mississippi,"$100,000 to $124,999",5.13%,"55,690"
2009,Mississippi,"$125,000 to $149,999",2.48%,"26,887"
2009,Mississippi,"$150,000 to $199,999",1.94%,"21,068"
2009,Mississippi,"$200,000 or more",1.74%,"18,913"
2009,Mississippi,"Less than $10,000",12.46%,"135,334"
2009,Missouri,"$10,000 to $14,999",6.21%,"144,276"
2009,Missouri,"$15,000 to $19,999",5.86%,"135,989"
2009,Missouri,"$20,000 to $24,999",6.25%,"145,184"
2009,Missouri,"$25,000 to $29,999",6.13%,"142,255"
2009,Missouri,"$30,000 to $34,999",5.85%,"135,852"
2009,Missouri,"$35,000 to $39,999",5.46%,"126,777"
2009,Missouri,"$40,000 to $44,999",5.23%,"121,372"
2009,Missouri,"$45,000 to $49,999",4.81%,"111,668"
2009,Missouri,"$50,000 to $59,999",8.91%,"206,827"
2009,Missouri,"$60,000 to $74,999",10.49%,"243,639"
2009,Missouri,"$75,000 to $99,999",11.71%,"271,971"
2009,Missouri,"$100,000 to $124,999",6.48%,"150,531"
2009,Missouri,"$125,000 to $149,999",3.33%,"77,235"
2009,Missouri,"$150,000 to $199,999",2.85%,"66,165"
2009,Missouri,"$200,000 or more",2.41%,"55,962"
2009,Missouri,"Less than $10,000",8.03%,"186,535"
2009,Montana,"$10,000 to $14,999",6.79%,"25,339"
2009,Montana,"$15,000 to $19,999",6.71%,"25,035"
2009,Montana,"$20,000 to $24,999",6.76%,"25,194"
2009,Montana,"$25,000 to $29,999",6.50%,"24,247"
2009,Montana,"$30,000 to $34,999",6.02%,"22,443"
2009,Montana,"$35,000 to $39,999",5.64%,"21,021"
2009,Montana,"$40,000 to $44,999",5.72%,"21,336"
2009,Montana,"$45,000 to $49,999",4.91%,"18,306"
2009,Montana,"$50,000 to $59,999",8.95%,"33,375"
2009,Montana,"$60,000 to $74,999",10.53%,"39,289"
2009,Montana,"$75,000 to $99,999",11.26%,"41,999"
2009,Montana,"$100,000 to $124,999",5.64%,"21,035"
2009,Montana,"$125,000 to $149,999",2.69%,"10,033"
2009,Montana,"$150,000 to $199,999",2.05%,"7,643"
2009,Montana,"$200,000 or more",1.80%,"6,722"
2009,Montana,"Less than $10,000",8.03%,"29,930"
2009,Nebraska,"$10,000 to $14,999",5.84%,"41,039"
2009,Nebraska,"$15,000 to $19,999",5.71%,"40,098"
2009,Nebraska,"$20,000 to $24,999",6.09%,"42,808"
2009,Nebraska,"$25,000 to $29,999",5.86%,"41,202"
2009,Nebraska,"$30,000 to $34,999",6.07%,"42,620"
2009,Nebraska,"$35,000 to $39,999",5.53%,"38,838"
2009,Nebraska,"$40,000 to $44,999",5.21%,"36,622"
2009,Nebraska,"$45,000 to $49,999",4.85%,"34,065"
2009,Nebraska,"$50,000 to $59,999",9.31%,"65,445"
2009,Nebraska,"$60,000 to $74,999",11.59%,"81,407"
2009,Nebraska,"$75,000 to $99,999",12.49%,"87,734"
2009,Nebraska,"$100,000 to $124,999",6.69%,"47,035"
2009,Nebraska,"$125,000 to $149,999",3.25%,"22,847"
2009,Nebraska,"$150,000 to $199,999",2.49%,"17,498"
2009,Nebraska,"$200,000 or more",2.20%,"15,477"
2009,Nebraska,"Less than $10,000",6.82%,"47,902"
2009,Nevada,"$10,000 to $14,999",3.96%,"37,420"
2009,Nevada,"$15,000 to $19,999",4.47%,"42,231"
2009,Nevada,"$20,000 to $24,999",4.90%,"46,247"
2009,Nevada,"$25,000 to $29,999",5.38%,"50,832"
